几号还款呢？,下次还款日十几号？,1
你好，未接到借款审核电话,回访电话没接到,1
"请问我借了4500,十个月还清，现在才一个月，我想现在还清，额度会提升吗",借一万，每期还一千一百五，十期还清，对吧？,1
哪里领到优惠券呀,你好，怎么获得优惠券,1
手机上信息的电话号码会泄露吗,别回信息,0
你们一次最多借1000吗,一次性代最高额度会通过吗,1
还款日后一天还款算逾期吗？,晚一天算不算逾期,1
想买民生半年，但说年令限制不能买，看合同上是18一65岁，为什么微众银行要18一60岁,手机银行向微众卡转账有什么限制,0
求名额,如何加入小粒,1
5点前会自动扣款是吧,20号卡内有钱为什么还逾期,0
逾期怎么罚款,我怎么查询欠款情况？,0
需要多久可以借款,什么时候可以借呐,1
我手机没有微粒贷款呢,我手机无显示微粒贷的符号,1
为什么提示借款失败,借款失败的原因这是什么原因,1
怎么找财付通,支持哪些銀行,0
你好我这个账户有逾期吗,你好！可以宽容几天吗？,0
怎样更快获得,如何借钱,0
中信银行信用卡,宁夏银行,1
我现在提前还清借款是否还能借款,如果我提前把微粒贷还清可不可以在借,1
你好怎么提升额度,你好请问怎么提升借款额度？,1
为什么余额是0,因我本人来南京忘记充卡。明天充足余额还可以,0
什么时候我才能邀请？,什么时候才能申请,1
我绑定的银行卡丢失了，,这个是不是直接从绑定银行卡扣钱的,0
为啥没有额度！！,为什么我申请了却没有额度,0
微粒贷都支持什么银行,在微粒借钱可不可提到银行卡的？,0
不能买房不能投资对吗,不能投资是吧,1
为什么不能借款,为什么我的借款未通过,1
每日每月有啥额度限制？,限制多少,1
一个礼拜之内免息吗,免息劵领取,0
我的意思是我看到玩，你又给我开通不了金额都没事别BB,开户怎么说我验证码失败,1
不是说三分钟到账？为什么现在还没,10几分钟了，没收到钱,1
为什么我在申请的过程中，微服务发了两次验证码过来，开始不知道输错了，后来再申请为什么没有再发送验证码过来呢,你好，我刚才提起一笔借款，填好资料同验证码，之后就没了反应的,1
我6月12号还款，6月12号凌晨余额不足扣款失败，6月12号17:30扣款卡余额充足，什么时间扣款,我23号申请成功，可到今天也没有扣款是为什么,1
你好，还款成功有凭证吗,你好，我想咨询下如何找你们开一张还款已经提前全部结清的证明，银行房贷需要用。,0
提示会有电话打来，但是目前还未接到电话,刚才未接到电话。,1
我没微粒贷借款功能,我开通资金理财，里面没有微粒贷功能,1
我想把代还款的银行卡换掉怎么弄,我要还款，原来绑定的卡坏了，怎么解绑更换,1
这个电话号码是你们银行不,057165111071这是您们公司的客服电话吗？,1
微粒贷的日计息,提前清贷有手续费吗,0
QQ现金贷我都有名额,快点给资格啊等了那么久,0
第一次申请贷款，现在想取消,能不能取消借款,1
无法查看额度是什么原因？,我想看下自己的授权额度，怎么看不了,1
一般申请借贷多长时间能到账？,什么时候全面开放微粒贷,0
开通微粒贷有啥要求,/坏笑怎么样的才能开通,1
我qq怎么没微粒贷,为什么能开出腾讯信用却没有微粒贷，朋友的没用腾讯信用却有30000的额度呢？？,1
为什么还不给我微粒贷,为什么还不给我开通,1
多久才算违约？,我逾期。然后我手机换号了。晚上我会处理逾期金额,0
一搬最高借款在多少,你好，请问我有多少额度能贷？,0
微粒贷图标突然不见了什么原因,微粒贷图标没有了,1
一般确认电话要多久？,二次借款仍需要电话确认吗,0
如何更改每个月的还款日期及金额？,可以修改还款日期吗,1
还款失败是什么原因,无法主动还款怎么办,0
如果我提前把微粒贷还清可不可以在借,你好，我有一笔贷款，如果现在提前还清，稍后还可以再贷款吗,1
关闭微粒贷，太不安全,就是想关闭微粒贷,1
每次我都是提前还款。这样不行吗？以前可以借。现在为何不能借。,竟然现在不能总微信钱包还款,0
为满足微信银行的条件，是不是就永远不能用微粒贷,可以找到微粒贷图标，但是操作后显示你未满足微众银行审批要求无法贷款,1
页面过期，请返回重新操作,说我页面过期,1
为什么我的没有微粒贷，而我朋友却有、,我的QQ钱包里怎么没有微粒贷啊？,0
一直不停的输入验证码，进入不了下一步,一直是输入验证码反复出现这样的提示,1
微众银行APP进不去,无法登陆微众银行app,0
不支持微信和支付宝绑卡,为什么工商银行，招商银行卡都不支持,1
为什么说我审批不通过,怎么我这老显示你未或的微众银行审批,1
交通银行,借款信用卡,0
",开通",上面显示的是即将开放,0
不是说分秒到账吗？怎么操作了半天也没反应呢,不是说很快到账吗,1
假如被盗赔偿吗,开放期的基金要赎回，怎么都没找到赎回按钮，我要赎回！！！,0
微粒贷非首次借款的还款日,今日还款,0
QQ的微粒贷和微信的是互通的么？,微信里的微粒贷跟QQ里边的一样吗？,1
为什么我一直没有额度,怎么我的查看不到额度？,0
一万一个月多少利息,怎么我今天借款。到下个月18号就有50的利息。是怎么算出来的,1
我是要解除过去银行卡绑定，然后才能重新绑定新银行卡，因为有这个微粒贷无法解除过去的绑定,"我绑定的银行掉了，已挂失补了,但是新号码和前面号不一样,我现在有微粒贷怎还款？",1
我的本期还清吗,我现在已还清了吗？,1
我的额度怎么降低了？,如何降低额度,0
提前还款了什么时候能再次借,如果我今天借款10000～账单日几号～还款日几号～每月利息多少,0
怎么还没有扣款呢？,我的扣款为什么没成功？,0
想问下今天微银怎么登录不了啊,怎么登录又闪退？,0
15过了怎么没有到帐,15分钟就可以到账吗,0
借款能提现不？,可以提现金出来就行。有现在才方便用在日常生活当中啊,0
已经在银行换了新预留号码。,电话验证手机更换,1
借款支持提现吗？,可以取钱出来吗,1
多笔借款怎么计算,多笔借贷利息计算,1
已经借款成功的可以改变还款分期吗？,我可以改成10个月的吗,0
你好，想真心的问句我怎么没微粒贷，我以前都是用支付宝单一，现在转向微信支付这边靠怎么就没个真心实意的名额呢！哈哈,微粒贷搬到那里去了,1
如何开贷款结清证明以及相对应的合同,如何开具结清证明？,1
为什么一直要验证码,一直重复输入验证码,1
为什么我的综合评估不合格,评估规则,0
如果现在借还款期是什么时候？,你好，每月还款日是什么时候,1
什么时候扣款,从借款那天就开始算利息了,0
为何还款之后不能在借,为什么还款了不能再借了,1
微信我点进去银行卡了，没有借钱啊,微信里找不到借钱,1
每次输入密码过后显示让从新输入带不了款,你们是不是想骗取密码,0
原来的手机号不用了，怎么换,你们发验证码给我发的是之前的手机号,0
电话号更改,跟换手机号码,1
今天能还了？,可以微信转账还款吗？,0
0.05%就是5分的利,开通但是没有借钱不存在其他费用吧,0
结清证明,全部还清之后会增加么,0
如何查看已经逾期,不到期还可以吗,0
换卡了，扣款失败,换卡为什么是正在加载,0
还款可以退迟几天，什么时候算逾期,逾期一天怎么计算,0
一万一个月多少利息,你好，微粒贷超期的费用怎么计算？,0
怎么删掉微信的微粒贷我不需要了,能不能帮我关闭微粒贷,1
怎么手动还款,可以用信用卡还款吗,0
如何更改绑定的卡,你好，我要换绑定银行卡,1
为满足审批要求无法借款该怎么处理？,您未满足微众银行的审批要求，无法借款,1
如果退出那个贷款,不用借钱了,0
为什么我没有审核通过,亲，你们刚才的审核电话我没接上，请问你们现在可以在打一遍吗？谢谢,0
人民银行？,可以现在还款吗？我跟改了银行卡,0
苹果手机不行吗,手机停机,0
借款用途有什么限制,如何还违约金,0
怎么我有微粒贷，却没额度,"我想借钱,怎么进入",0
如果我提前还清，我什么时候能够再申请贷款,你好，我之前办过微粒贷，现已提前还清，现我在银行申请房贷，能否请你们给我办理结清证明,0
今天借款多久可以到账？,今天1点可以到帐吗,1
之前存的定期，昨天到期，上面写着今天到账，不是应该今天凌晨就要到账了吗？怎么现在还没到账？,我今年没有收到红包,0
借款失败综合评估未通过,1:综合评估未通过是什么意思,1
提供结清证明,我在你们那开的结清证明寄出了吗,0
你好，扣款的卡出问题了，怎么才能换个卡号呀？,点我换卡无法加载,0
为啥登不进去,为什么我登录不了，说我网络有风险,1
